country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tajikistan,,,,,,,,,,,,,,,,,,,,0.478,,,,,,,,
Tanzania,,,,,,,,,,,,0.903,,,,,1.16,,,,,,,,0.726,,,
Thailand,,,,,,,,,,,,,,,,,,,,0.123,0.0695,0.0958,0.07,0.0557,0.0536,0.0598,0.0723,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,0.113,,,,
Tunisia,,,,,,,,,,,,,,,,,,,1.53,1.31,,,4.77,4.19,,,,
Turkey,2.1,2,2.15,2.17,2.17,1.72,1.64,1.55,1.53,1.41,0.822,1.07,1.65,1.45,2,1.95,1.28,1.21,1.25,1.77,1.58,1.24,1.09,1.18,1.24,1.37,1.45,1.57
Uganda,,,,,,,,,,,,,,,,,,,,,,,0.646,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,1.39,1.65,1.34,1.4,1.28,1.19,1.53,1.53,1.6
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07
United Kingdom,,,2.8,3.23,3.01,2.59,2.34,1.91,1.44,1.33,1.17,0.996,0.959,0.881,0.879,0.878,1.07,1.06,1.14,1.69,2.04,2.08,2.1,2.01,1.6,1.24,1.03,0.913
United States,0.278,0.436,0.759,0.691,0.731,0.571,0.554,0.468,0.377,0.323,0.285,0.351,0.644,0.779,0.707,0.593,0.498,0.494,0.688,1.67,2.27,2.1,1.79,1.5,1.13,0.829,0.705,0.605
Uruguay,,,,,,,,,,,,,,,,,0.658,0.391,0.241,0.237,0.168,0.125,0.11,0.088,0.106,0.162,0.153,0.145
Vanuatu,,,,,,,,,,,,,,,,,,,,,0.978,,,,,,,
Venezuela,,,,,,,,,,,,,,,,1.4,1.29,0.835,0.708,0.705,0.844,0.851,0.795,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,0.233,0.214,0.167,0.299,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,0.547,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,
