Period;City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
2020;Dubai, United Arab Emirates;156,74;92,69;82,95;66,48;66,81;4,95;39,32;50,81;50,27
2020;Minneapolis, MN, United States;177,45;127,18;50,96;79,01;76,7;2,95;36,72;27,01;49,46
2020;Ahmedabad, India;115,09;38,52;68,24;71,9;25,58;9,65;38,31;72,39;49,27
2020;Nizhny Novgorod, Russia;143,82;37,07;70,43;77,99;39,1;11,54;28,9;34,03;45,51
2020;Ottawa, Canada;189,58;119,69;75,48;74,92;68,64;4,64;32,2;19,83;44,46
2020;Riyadh, Saudi Arabia;144,85;90,01;73,14;63,65;48,18;3,59;30,13;66,78;44,45
2020;Abu Dhabi, United Arab Emirates;167,25;93,34;88,67;70,47;62,75;6,03;26,39;47,61;43,89
2020;Sharjah, United Arab Emirates;143,77;84,08;83,35;58,16;52,81;4,93;51,76;49,74;43,35
2020;Anchorage, AK, United States;167,96;118,44;38,88;60,62;91,36;2,53;27,64;17,23;41,61
2020;Doha, Qatar;160,43;107,64;88,52;73,24;63,96;5,94;29,86;61,38;36,03
2020;Calgary, Canada;181,89;124,35;67,76;77,17;70,66;4,72;30,59;24,81;33,09
2020;Edmonton, Canada;169,63;108,08;57,96;78,28;69,55;3,92;29,31;28,6;32,11
2020;Winnipeg, Canada;146,16;100,67;43,24;69,16;63,69;4,74;31,97;36,78;24,67
2020;Yekaterinburg, Russia;87,47;45,4;52,89;50,64;38,46;11;38,03;75,96;21,33
2020;Kuwait City, Kuwait;107,63;73,68;67,44;55,75;52,12;14,56;32,94;72,53;20,22
2020;Novosibirsk, Russia;86,11;37,4;53,14;54,26;37,09;11,82;41,08;69,66;16,14
2020;Regina, Canada;144,46;95,08;44,51;68,15;68,19;4,97;17,17;41,21;14,28
2019-mid;Caracas, Venezuela;0;2,49;14,74;39,84;26,95;173,36;37,08;74,09;99,93
2019-mid;Auckland, New Zealand;167,41;91,05;53,99;73,55;77,51;12,01;37,53;30,29;99,89
2019-mid;Guatemala City, Guatemala;109,33;41,7;39,72;64,07;44,26;10,81;49;69,6;99,89
2019-mid;Nairobi, Kenya;80,9;25,37;38,91;57,03;42,88;20,39;56,44;77,82;99,79
2019-mid;Medellin, Colombia;122,52;35,72;53,36;77,44;30,16;16,79;39,17;64,93;99,76
2019-mid;Curitiba, Brazil;138,33;39,51;36,54;65,79;41,43;13,29;31,49;33,13;99,6
2019-mid;Sao Paulo, Brazil;81,34;39,29;28,75;56,19;47,9;19,49;51,07;81,64;99,04
2019-mid;Brasilia, Brazil;144,04;59,36;37,97;46,76;47,09;11,6;29,09;29,3;98,97
2019-mid;Quito, Ecuador;122,94;45,44;46,42;69,18;44,73;10,58;41,19;65,2;98,97
2019-mid;Campinas, Brazil;124,11;38,96;32,6;62,82;46,84;13,52;31,15;48,11;98,87
2019-mid;Porto Alegre, Brazil;112,44;38,8;22,59;62,3;42,76;12,65;32,66;58,43;98,74
2019-mid;Lisbon, Portugal;151,61;51,02;71,4;70,93;53,63;18,02;35,34;37,01;98,59
2019-mid;Belo Horizonte, Brazil;108,47;36,19;34,24;58,55;42,48;16,2;44,08;55,34;98,5
2019-mid;Buenos Aires, Argentina;113,52;50,35;36,81;69,65;39,32;21,42;46,46;55,58;98,28
2019-mid;Cape Town, South Africa;149,37;80,01;29,22;71,09;45;7,52;43,67;36,84;98,19
2019-mid;Brisbane, Australia;204,47;131;65,75;82,53;72,49;5,61;40,45;20,13;98,07
2019-mid;Montevideo, Uruguay;125,02;43,95;44,57;66,87;54,59;14,96;40,64;50,3;98,04
2019-mid;Lima, Peru;83,6;35,68;32,79;57,22;42,39;15,37;50,2;86,71;97,69
2019-mid;Wellington, New Zealand;205,81;112,32;70,1;73,48;72,59;6,01;27,63;13,56;97,68
2019-mid;San Francisco, CA, United States;178,31;143,32;50,11;72,01;89,36;8,32;46,96;36,84;97,26
2019-mid;Bogota, Colombia;93,36;31,45;39;65,63;32,53;23,99;47,91;69,21;97,12
2019-mid;San Diego, CA, United States;195,8;141,25;63,34;70,85;72,41;5,47;34,66;34,55;97,08
2019-mid;Sydney, Australia;176,37;110,19;62,36;73,7;79,74;11,35;44,35;28,84;97,07
2019-mid;Izmir, Turkey;143,61;46,7;73,46;72,26;34,24;8,97;39,06;61,62;96,88
2019-mid;Porto, Portugal;154,22;48,78;60,35;74,93;51,87;13,47;28,63;37;96,61
2019-mid;Pretoria, South Africa;134,24;81,91;18,84;68,07;49,18;2,38;44,77;56,14;95,83
2019-mid;Limassol, Cyprus;160,35;79,79;67,35;51,21;62,31;7,66;17,09;52,82;95,74
2019-mid;Barcelona, Spain;144,5;73,68;58,7;77,2;60,12;13,21;30,55;63,92;95,73
2019-mid;Perth, Australia;190,57;117,6;56,34;78,61;74,49;6,88;36,7;22,96;95,71
2019-mid;Durban, South Africa;141,21;81,63;19,58;54,72;40,61;3,47;27,26;50,73;95,61
2019-mid;San Jose, CA, United States;191,06;168,51;57,37;68,83;80,31;5,87;37,08;47,94;95,53
2019-mid;Los Angeles, CA, United States;152,42;114,6;57,55;65,82;78,99;7,59;47,76;61,49;95,5
2019-mid;Honolulu, HI, United States;166,13;100,96;56,89;70,38;88,84;8,72;41,76;36,21;95,33
2019-mid;Athens, Greece;125,64;49,62;51,75;54,65;59,43;10,36;37,19;58,16;95,18
2019-mid;Adelaide, Australia;208,06;128,53;68,62;75,74;67,72;4,48;29,7;20,26;94,96
2019-mid;Beirut, Lebanon;102,48;45,97;55,25;66,4;61,57;15,36;37,19;92,33;94,74
2019-mid;Melbourne, Australia;180,41;112,42;55,48;75,57;73,38;9,55;39,2;26,21;94,3
2019-mid;Tel Aviv-Yafo, Israel;153,53;82,26;71,7;73,61;83,74;19,64;35,78;45,09;93,88
2019-mid;Valencia, Spain;178,5;83,81;73,89;81,82;54,89;7,74;27,24;43,69;93,84
2019-mid;Rome, Italy;112,57;62,95;47,83;59,54;71,17;17,19;44,9;67,23;93,7
2019-mid;Bursa, Turkey;163,79;43,3;77,34;79,27;36,83;5,87;33,84;42,85;93,39
2019-mid;Istanbul, Turkey;113,47;42,77;51,98;68,17;38,1;11,25;52,04;70,24;93,02
2019-mid;Guadalajara, Mexico;119,25;46,28;42,09;76,99;34,7;11,11;40,36;70,93;92,83
2019-mid;Kathmandu, Nepal;79,25;23,29;64,73;54,19;32,85;27,71;40,43;95,66;92,64
